time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621787175686.641,,,,-0.127,-4.089,-11.415
1621787175705.272,,,,0.765,-4.462,-10.013
1621787175724.208,,,,1.971,-5.247,-8.444
1621787175724.37,0.674,1.477,0.963,1.9790123840580631,-5.250218433974952,-8.438456205352045
1621787175730.293,0.634,1.445,0.967,2.271754006420424,-5.367807602999581,-8.235907322581873
1621787175736.244,0.606,1.414,0.969,2.565883315780792,-5.485954181522883,-8.0323982946543
1621787175742.225,0.599,1.381,0.984,2.861508913730317,-5.60470179289693,-7.827853979774397
1621787175743.449,0.5985926377376889,1.3759079717211116,0.9872588980984885,2.922,-5.629,-7.786
1621787175748.234,0.597,1.356,1.0,3.157230101537424,-5.660331376687607,-7.627629681899362
1621787175754.273,0.597,1.323,1.014,3.4541152381071325,-5.699874870424258,-7.427749678402378
1621787175760.341,0.597,1.311,1.04,3.752428630306361,-5.739608600082429,-7.226908091770848
1621787175762.997,0.5922095992954646,1.3057741083223249,1.0539357111404668,3.883,-5.757,-7.139
1621787175766.44,0.586,1.299,1.072,3.9254073463701387,-5.698060976231332,-6.932234237754634
1621787175768.093,0.56,1.304,1.093,3.9457690072886047,-5.669761718683634,-6.832956761073073
1621787175773.65,0.527,1.3,1.131,4.014215583003448,-5.574632579554529,-6.499231366486009
1621787175777.367,0.5002836148278131,1.312022373327484,1.1563805659135775,4.06,-5.511,-6.276
1621787175779.215,0.487,1.318,1.169,3.9433508009370217,-5.461798228866231,-6.282047717701859
1621787175784.788,0.428,1.335,1.213,3.5916003033134283,-5.31343246536946,-6.300284342798337
1621787175790.368,0.358,1.342,1.251,3.2394183423379506,-5.164884713815655,-6.3185433372601585
1621787175795.397,0.29679257155341926,1.3401997815162772,1.2762030587721214,2.922,-5.031,-6.335
1621787175795.955,0.29,1.34,1.279,2.8884612314247957,-5.02162887348634,-6.357965425173279
1621787175801.549,0.227,1.337,1.297,2.55229596267429,-4.927700342511934,-6.588152121146741
1621787175807.15,0.187,1.33,1.311,2.215719895358559,-4.8336570295854795,-6.818620108417163
1621787175812.758,0.155,1.321,1.328,1.878703686722943,-4.7394907359961165,-7.049389479220044
1621787175813.502,0.15155601443290007,1.32007277311655,1.3295895318002,1.834,-4.727,-7.08
1621787175818.374,0.129,1.314,1.34,1.7919281321337452,-4.763712394252719,-7.132790815093326
1621787175823.996,0.122,1.318,1.342,1.7433797770914463,-4.806076245467974,-7.1937081777897145
1621787175829.627,0.119,1.307,1.36,1.694755525715053,-4.848506324694508,-7.2547207734658254
1621787175831.683,0.1164471051833889,1.2964237214740397,1.3661998874117698,1.677,-4.864,-7.277
1621787175835.265,0.112,1.278,1.377,1.8251384074252395,-4.82946707323597,-7.249923046060022
1621787175840.909,0.098,1.293,1.393,2.058569237147595,-4.775051409618573,-7.2072562189054725
1621787175846.561,0.082,1.307,1.414,2.292333279837372,-4.720558069865725,-7.164528486599262
1621787175849.938,0.06409758833426808,1.3135642176107685,1.4241446999439147,2.432,-4.688,-7.139
1621787175852.22,0.052,1.318,1.431,2.519902040707587,-4.695221414109121,-7.15120169970162
1621787175857.886,0.035,1.335,1.45,2.7381571557971016,-4.713151721014492,-7.1814977355072465
1621787175863.56,0.028,1.356,1.475,2.9567226129582265,-4.731107523444161,-7.211836849957375
1621787175868.266,0.020544415316515536,1.370911169366969,1.4882543727706392,3.138,-4.746,-7.237
1621787175869.241,0.019,1.374,1.491,3.142184646202011,-4.751191080098698,-7.22767724390438
1621787175874.929,0.012,1.4,1.511,3.166600846355894,-4.7814795309225016,-7.173281658751426
1621787175880.624,0.005,1.428,1.527,3.191047438380515,-4.811805683054311,-7.118818365126954
1621787175886.326,0.0,1.457,1.559,3.215523374280332,-4.84216823644902,-7.064289697805842
1621787175886.67,-0.0010241576877030956,1.4592290490850008,1.560566358816487,3.217,-4.844,-7.061
1621787175892.036,-0.017,1.494,1.585,3.0601855296884497,-4.781564609042624,-7.083650979045002
1621787175897.754,-0.037,1.527,1.611,2.893082762994477,-4.7150329519329865,-7.1077880453452424
1621787175903.478,-0.051,1.56,1.63,2.7258016277779245,-4.648430277726396,-7.131950875987633
1621787175905.148,-0.05595356564709891,1.573695152083156,1.6346621794325635,2.677,-4.629,-7.139
1621787175909.209,-0.068,1.607,1.646,2.571933480715329,-4.596823378469069,-7.173365507349361
1621787175914.947,-0.08,1.6,1.663,2.423479807350677,-4.551359441001145,-7.221922229679049
1621787175920.693,-0.082,1.625,1.681,2.274817693734949,-4.505831668706328,-7.27054712934086
1621787175923.701,-0.08304566287557291,1.6239543371244272,1.698253437446953,2.197,-4.482,-7.296
1621787175926.446,-0.084,1.623,1.714,2.1377659909053977,-4.483326134531969,-7.21363231073661
1621787175932.207,-0.094,1.625,1.742,2.0134556998519177,-4.486109200749584,-7.040772975664732
1621787175937.975,-0.119,1.63,1.761,1.8889926352068562,-4.488895687271488,-6.867701201693116
1621787175942.331,-0.14766790697674417,1.6224558139534884,1.7791060465116277,1.795,-4.491,-6.737
1621787175943.749,-0.157,1.62,1.785,1.764420769321441,-4.4999759930847505,-6.722090723350752
1621787175949.511,-0.208,1.606,1.806,1.6401610545754588,-4.536450237711681,-6.661506384817885
1621787175955.279,-0.258,1.592,1.833,1.5157697143530706,-4.572963118672481,-6.600857870679607
1621787175960.972,-0.31318586763587186,1.576232609246894,1.8497528526751754,1.393,-4.609,-6.541
1621787175961.056,-0.314,1.576,1.85,1.3933501774900814,-4.610629672165379,-6.543599394445605
1621787175966.837,-0.372,1.569,1.871,1.4174544007099603,-4.722807018688662,-6.722526897577783
1621787175972.625,-0.415,1.557,1.894,1.4415881447066194,-4.835121750365421,-6.901673535706828
1621787175978.421,-0.447,1.524,1.923,1.4657544633535187,-4.947588079452913,-7.081061977970349
1621787175979.679,-0.448518075838559,1.5190120365304491,1.929939775261984,1.471,-4.972,-7.12
1621787175984.222,-0.454,1.501,1.955,1.4947115477134723,-5.0525708713121045,-7.290819925364401
1621787175990.03,-0.452,1.475,1.99,1.5250263435057927,-5.155579310075806,-7.509210188929486
1621787175995.845,-0.428,1.457,2.019,1.5553768187551198,-5.258708986178111,-7.727857490215454
1621787175998.455,-0.41903517672215,1.45341407068886,2.027068340950065,1.569,-5.305,-7.826
1621787176001.668,-0.408,1.449,2.037,1.5908216677678026,-5.333470457165805,-7.879531278742891
1621787176007.496,-0.372,1.419,2.058,1.6304057751350511,-5.385115347246512,-7.976636042128172
1621787176013.33,-0.342,1.393,2.075,1.6700296788568911,-5.4368121591336,-8.07383843094581
1621787176017.301,-0.31617067157006146,1.3896014041539555,2.0879146642149693,1.697,-5.472,-8.14
1621787176019.172,-0.304,1.388,2.094,1.7279590625161323,-5.470021785142739,-8.170068865830366
1621787176025.021,-0.26,1.374,2.119,1.82473440968458,-5.4638380568891645,-8.264061535284705
1621787176030.875,-0.209,1.354,2.135,1.9215945872696296,-5.457648908161685,-8.358136595942389
1621787176036.218,-0.16342713756195076,1.3467083420099122,2.14411457248761,2.01,-5.452,-8.444
1621787176036.737,-0.159,1.346,2.145,2.010820100037289,-5.449321006544856,-8.43809527973152
1621787176042.604,-0.099,1.333,2.15,2.0200900078435406,-5.419039307711101,-8.371351943526507
1621787176048.479,-0.052,1.326,2.15,2.0293726453305214,-5.388716025253629,-8.304516953620244
1621787176054.361,-0.01,1.328,2.154,2.0386664695066283,-5.358356199611681,-8.237601419552275
1621787176055.205,-0.005126342414064768,1.325706514077207,2.1547167143508728,2.04,-5.354,-8.228
1621787176060.249,0.024,1.312,2.159,2.0613843254863453,-5.348790997637941,-8.133963799463892
1621787176065.871,0.051,1.323,2.166,2.085219671435017,-5.342984951829932,-8.0291493935614
1621787176071.493,0.08,1.342,2.173,2.1090539823243715,-5.337179158151756,-7.924339539265904
1621787176073.603,0.09238574778530485,1.3446272798332466,2.174876628452319,2.118,-5.335,-7.885
1621787176077.115,0.113,1.349,2.178,2.1065937667992687,-5.260956147188474,-7.8925397134716695
1621787176082.737,0.136,1.37,2.189,2.0883342785721966,-5.142424215138157,-7.904609544672616
1621787176088.359,0.159,1.381,2.194,2.0700755832706164,-5.02389743038383,-7.916678851736373
1621787176091.769,0.16324669909659487,1.3925267546907574,2.194,2.059,-4.952,-7.924
1621787176093.98,0.166,1.4,2.194,2.066180733254489,-4.900761208472208,-7.909638533491023
1621787176099.601,0.169,1.417,2.189,2.0844370497795937,-4.770491560047306,-7.873125900440813
1621787176105.222,0.161,1.429,2.185,2.1026925733792066,-4.64022756961617,-7.836614853241587
1621787176109.935,0.1417184731631058,1.4440898905680042,2.1833233454924437,2.118,-4.531,-7.806
1621787176110.844,0.138,1.447,2.183,2.121953185483871,-4.513786129032257,-7.798644072580645
1621787176116.465,0.117,1.456,2.185,2.1464007123655913,-4.407331075268817,-7.7531531048387095
1621787176122.086,0.082,1.463,2.185,2.170847177419355,-4.300880645161291,-7.707664112903226
1621787176127.707,0.045,1.473,2.183,2.1952947043010753,-4.19442559139785,-7.66217314516129
1621787176128.099,0.04186041965332986,1.4739767583300754,2.1836279160693337,2.197,-4.187,-7.659
1621787176133.327,0.0,1.487,2.192,2.151808498339853,-4.127704144318534,-7.647774085574868
1621787176138.948,-0.042,1.501,2.194,2.103217028941673,-4.06394718447124,-7.6357035931765935
1621787176144.569,-0.094,1.51,2.19,2.054625559543493,-4.000190224623946,-7.62363310077832
1621787176146.261,-0.10724644858595074,1.5178274468916981,2.187892610452235,2.04,-3.981,-7.62
1621787176150.189,-0.138,1.536,2.183,1.9783588078722374,-3.942933860300048,-7.694185715437974
1621787176155.809,-0.169,1.517,2.18,1.8901631311501854,-3.888469161692746,-7.800329986019251
1621787176161.428,-0.209,1.518,2.175,1.8019866107436682,-3.834016292950476,-7.906451201806743
1621787176164.422,-0.23244118158123372,1.5164017376194614,2.162746655082537,1.755,-3.805,-7.963
1621787176167.048,-0.253,1.515,2.152,1.7082882285714285,-3.846071650420168,-7.968640121008404
1621787176172.669,-0.278,1.518,2.142,1.6083026285714284,-3.933984685714286,-7.980712685714286
1621787176178.288,-0.311,1.522,2.126,1.5083474285714285,-4.021870991596639,-7.9927815798319335
1621787176182.58,-0.33620265867326987,1.5181814153525348,2.1114893783396327,1.432,-4.089,-8.002
1621787176183.908,-0.344,1.517,2.107,1.4069152626695889,-4.11627873768001,-8.032862271584355
1621787176189.527,-0.367,1.499,2.105,1.3007651772868456,-4.231713087090398,-8.163460918906564
1621787176195.146,-0.386,1.482,2.091,1.1946197039168494,-4.3471424211050005,-8.294053891974022
