time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621785165967.548,,,,3.923,-5.57,-5.972
1621785165986.288,,,,3.54,-5.531,-6.335
1621785166001.882,-0.03,1.724,1.616,2.737575376884422,-5.594866449594913,-6.9130732488975495
1621785166005.333,-0.05033729343089698,1.7030816410425058,1.627040245005344,2.56,-5.609,-7.041
1621785166007.821,-0.065,1.688,1.635,2.414983625583449,-5.64306856313864,-7.1254643244607045
1621785166013.79,-0.082,1.682,1.648,2.0670780875488837,-5.724801690425129,-7.328100794752113
1621785166019.787,-0.105,1.648,1.649,1.7175361170682477,-5.806919263277406,-7.531690399899079
1621785166024.686,-0.11150279510653813,1.6236145183504822,1.6538770963299037,1.432,-5.874,-7.698
1621785166025.814,-0.113,1.618,1.655,1.377950148412176,-5.894828127522696,-7.701959065562166
1621785166031.869,-0.12,1.588,1.649,1.0878007178429936,-6.006637302996808,-7.723212049329972
1621785166037.954,-0.106,1.555,1.642,0.7962005986164756,-6.119005501807027,-7.744571293731915
1621785166044.069,-0.098,1.527,1.639,0.5031731889367728,-6.2319237074479314,-7.766035084886798
1621785166044.344,-0.09678296584522265,1.5256369217466492,1.638415823605707,0.49,-6.237,-7.767
1621785166049.716,-0.073,1.499,1.627,0.44660542803096365,-6.3063722749164866,-7.74663111927984
1621785166055.346,-0.024,1.477,1.616,0.40112829525483307,-6.379073813708261,-7.725284710017575
1621785166060.983,0.019,1.452,1.609,0.3555939709413864,-6.451866781148124,-7.703911455747998
1621785166062.542,0.03640882734746863,1.444262743401125,1.609,0.343,-6.472,-7.698
1621785166066.625,0.082,1.424,1.609,0.3671517951460855,-6.441363000601725,-7.6409749281272985
1621785166072.272,0.138,1.395,1.604,0.4005547502841479,-6.398990733435849,-7.562106839606873
1621785166077.926,0.188,1.379,1.607,0.43399958547837136,-6.3565653406431775,-7.483139867620512
1621785166080.8,0.20526769921049226,1.3769685059752361,1.606492126493809,0.451,-6.335,-7.443
1621785166083.585,0.222,1.375,1.606,0.4897636429056891,-6.294716214235264,-7.402716214235264
1621785166089.251,0.253,1.347,1.602,0.5686298324871066,-6.212757232905556,-7.320757232905556
1621785166094.922,0.279,1.328,1.609,0.6475673849598209,-6.130724090139794,-7.238724090139794
1621785166099.12,0.2908295566926087,1.3139524014275272,1.610478694586576,0.706,-6.07,-7.178
1621785166100.6,0.295,1.309,1.611,0.7146954258088508,-6.04077370769803,-7.1701097062104875
1621785166106.283,0.3,1.302,1.614,0.7480843117462678,-5.928549952186155,-7.139812383785794
1621785166111.972,0.311,1.29,1.614,0.7815090580672581,-5.816205665940605,-7.109482521383414
1621785166117.502,0.3187681656449608,1.269608565181978,1.6091448964718995,0.814,-5.707,-7.08
1621785166117.667,0.319,1.269,1.609,0.815226015700499,-5.706122996068256,-7.077458478401885
1621785166123.369,0.318,1.251,1.609,0.8575834072465878,-5.675823548100981,-6.989651914904884
1621785166129.076,0.314,1.241,1.606,0.8999788850792305,-5.645496855928726,-6.901766398813858
