time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786536803.163,,,,0.304,-3.707,-8.287
1621786536821.824,,,,-0.265,-4.286,-8.385
1621786536838.595,0.475,1.648,1.365,-0.21283651878450904,-4.44160631684621,-8.896025290551759
1621786536840.793,0.47277272914690965,1.6576515070300581,1.3809621077804808,-0.206,-4.462,-8.963
1621786536844.516,0.469,1.674,1.408,-0.06383587288318071,-4.44693369305012,-9.122162011880786
1621786536850.466,0.463,1.672,1.442,0.16335638560626206,-4.42285625261238,-9.376518562146142
1621786536856.446,0.464,1.695,1.489,0.3916952793504832,-4.398657293764487,-9.63215884535978
1621786536860.068,0.4694258198220163,1.710674590596936,1.521554918932098,0.53,-4.384,-9.787
1621786536862.454,0.473,1.721,1.543,0.6076205503534781,-4.4329850254978,-9.83123274690473
1621786536868.492,0.476,1.733,1.585,0.8040427166066108,-4.556943755221126,-9.9431656297146
1621786536874.559,0.48,1.744,1.613,1.001417964415296,-4.681503958704786,-10.05564163435283
1621786536879.649,0.49001785928803104,1.7406607135706562,1.6255223241100387,1.167,-4.786,-10.15
1621786536880.656,0.492,1.74,1.628,1.185686819255883,-4.7814436459221765,-10.168686819255884
1621786536885.504,0.51,1.733,1.628,1.275641769550202,-4.759510185819549,-10.258641769550202
1621786536891.115,0.534,1.712,1.613,1.3797579312369794,-4.7341238377539465,-10.36275793123698
1621786536896.732,0.546,1.674,1.583,1.483982816235791,-4.70871097999189,-10.466982816235792
1621786536897.11,0.5450586039242925,1.6702344156971696,1.5807809949644036,1.491,-4.707,-10.474
1621786536902.356,0.532,1.618,1.55,1.5304923328727245,-4.661742363058265,-10.225227129422182
1621786536907.986,0.496,1.573,1.51,1.5728776211110962,-4.613169441500422,-9.958230751687037
1621786536913.622,0.435,1.513,1.482,1.6153070204859201,-4.564545969224165,-9.690956505990153
1621786536915.308,0.41079358691418927,1.494172789822147,1.4751265740620538,1.628,-4.55,-9.611
1621786536919.264,0.354,1.45,1.459,1.4198443553238418,-4.562779586926007,-9.394180228594346
1621786536924.913,0.264,1.363,1.421,1.1225837577702025,-4.581029717264888,-9.08454666131943
1621786536930.569,0.164,1.272,1.365,0.8249634516409331,-4.599301931689058,-8.774538413207672
1621786536933.571,0.11892474231250269,1.2269247423125027,1.3416669254323543,0.667,-4.609,-8.61
1621786536936.23,0.079,1.187,1.321,0.6413229170829171,-4.672975104895105,-8.507581804861804
1621786536941.898,0.005,1.133,1.278,0.5865878921078921,-4.809348811188811,-8.289260179820179
1621786536947.572,-0.051,1.091,1.244,0.5317939260739261,-4.945869370629371,-8.070703456543455
1621786536951.9,-0.09214584139264989,1.078808639587363,1.2257129593810445,0.49,-5.05,-7.904
1621786536953.252,-0.105,1.075,1.22,0.48206232249502323,-5.068741738553417,-7.868721433311214
1621786536958.939,-0.145,1.061,1.19,0.4486747710683477,-5.1475734571997345,-7.720332315859324
1621786536964.632,-0.176,1.054,1.15,0.41525138686131385,-5.226489781021898,-7.5717839416058395
1621786536970.296,-0.1899136357794628,1.052012337745791,1.1142220794242386,0.382,-5.305,-7.424
1621786536970.331,-0.19,1.052,1.114,0.38289694116402395,-5.305765542139994,-7.422952616475132
1621786536976.038,-0.192,1.066,1.087,0.5285003901239139,-5.4300385495325125,-7.252927357604771
1621786536981.75,-0.178,1.077,1.075,0.674228414245474,-5.554417882222252,-7.082756628800402
1621786536987.469,-0.173,1.098,1.063,0.8201370723514554,-5.678951386592962,-6.912374968591719
1621786536988.757,-0.16984961187409364,1.1007003326793483,1.0605246950439307,0.853,-5.707,-6.874
1621786536993.193,-0.159,1.11,1.052,0.9375216508973987,-5.71897190522626,-6.812943283346072
1621786536998.924,-0.148,1.112,1.033,1.0467159950451994,-5.734438526210368,-6.734063516327122
1621786537004.661,-0.145,1.115,1.014,1.1560219803389293,-5.74992096038795,-6.655103102021453
1621786537007.284,-0.13997687861271677,1.1181965317919076,1.0044104046242774,1.206,-5.757,-6.619
1621786537010.405,-0.134,1.122,0.993,1.220772786364293,-5.7799985424080464,-6.652070896747337
1621786537016.155,-0.14,1.126,0.977,1.2479887332081467,-5.822368823289955,-6.712997505022783
1621786537021.912,-0.143,1.131,0.967,1.2752381915354616,-5.864791275458616,-6.773999133323703
1621786537025.876,-0.13818525736072867,1.122746155475535,0.9546192332133022,1.294,-5.894,-6.816
1621786537027.675,-0.136,1.119,0.949,1.3073050987164894,-5.909136960133977,-6.866038740825058
1621786537033.444,-0.133,1.115,0.929,1.349970247674373,-5.957676296267222,-7.026496801036228
1621786537039.219,-0.122,1.136,0.922,1.392678729834753,-6.0062649317685235,-7.187117831769831
1621786537044.536,-0.10636743655786851,1.1396782502216778,0.9164826246674831,1.432,-6.051,-7.335
1621786537045.001,-0.105,1.14,0.916,1.4344339652160307,-6.056588185444969,-7.343046987040755
1621786537050.789,-0.089,1.131,0.906,1.464725013689343,-6.126133960001043,-7.443192902401502
1621786537056.583,-0.068,1.148,0.895,1.4950467262913614,-6.195750136893432,-7.543440197126541
1621786537062.385,-0.044,1.161,0.887,1.5254106020703502,-6.265463116998252,-7.643826888477484
1621786537063.262,-0.039460825610783484,1.1603947767481044,0.8877565290648695,1.53,-6.276,-7.659
1621786537068.181,-0.014,1.157,0.892,1.54023140625,-6.32243484375,-7.664246875
1621786537073.981,0.005,1.154,0.895,1.5522955078125,-6.3771873046875,-7.67043359375
1621786537079.788,0.04,1.136,0.901,1.5643743359375,-6.432006601562501,-7.676627864583334
1621786537082.012,0.05338996220075598,1.1321742965140695,0.9040605627887442,1.569,-6.453,-7.679
1621786537085.601,0.075,1.126,0.909,1.604486619773146,-6.441743491577336,-7.633973966309342
1621786537091.419,0.119,1.108,0.916,1.6620096555662263,-6.423496937212864,-7.5609877488514545
1621786537097.243,0.157,1.086,0.932,1.7195930386482206,-6.40523124042879,-7.48792496171516
1621786537100.824,0.18402646566164155,1.0718725293132327,0.9405993299832496,1.755,-6.394,-7.443
1621786537103.073,0.201,1.063,0.946,1.793611746442432,-6.350740543337646,-7.3904451228978
1621786537108.909,0.232,1.031,0.962,1.8938044501940492,-6.238487606727038,-7.25407172056921
1621786537114.75,0.25,1.012,0.977,1.9940851746442434,-6.126136054333764,-7.1175785122897794
1621786537119.696,0.2542289066087755,0.9993132801736735,0.9863035945393062,2.079,-6.031,-7.002
1621786537120.598,0.255,0.997,0.988,2.0892884994777767,-6.019806493623715,-6.978660348406896
1621786537126.453,0.257,0.977,1.002,2.15608297551352,-5.947136577566309,-6.82713584258507
1621786537132.312,0.251,0.969,1.012,2.2229247998143205,-5.8744151483501605,-6.675503926347143
1621786537138.178,0.244,0.955,1.021,2.289844609492863,-5.801608873931376,-6.523695098835635
1621786537138.63,0.2425375499001996,0.9541533183632734,1.0226163922155689,2.295,-5.796,-6.512
1621786537144.049,0.225,0.944,1.042,2.3118314697717457,-5.770610155768044,-6.433548234114744
1621786537149.927,0.194,0.942,1.061,2.330087741620399,-5.743071033826856,-6.348455441599835
1621786537155.81,0.159,0.937,1.086,2.3483599372815136,-5.715507891219412,-6.263288427925149
1621786537157.626,0.1503658637701588,0.937,1.0918588781559637,2.354,-5.707,-6.237
1621786537161.699,0.131,0.937,1.105,2.333058101703599,-5.694605815293967,-6.295765530933777
1621786537167.595,0.101,0.944,1.124,2.3027429998719096,-5.6766642244139875,-6.380833418726784
1621786537173.497,0.082,0.958,1.141,2.272396515947227,-5.658704060458563,-6.465989368515435
1621786537176.686,0.08092027278363298,0.960159454432734,1.1534168629882207,2.256,-5.649,-6.512
1621786537179.404,0.08,0.962,1.164,2.256,-5.676522136126211,-6.5337513656481345
