time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786099733.928,,,,0.804,-4.001,-7.943
1621786099751.288,,,,1.187,-3.923,-7.924
1621786099767.128,0.422,0.829,1.527,1.3182474713418746,-3.9399639588809228,-8.230244099797707
1621786099769.029,0.4178610975771803,0.8338287194932896,1.5335532621694645,1.334,-3.942,-8.267
1621786099772.64,0.41,0.843,1.546,1.3220756774484483,-3.9618065018652895,-8.336322756528512
1621786099778.164,0.403,0.859,1.564,1.303832834556362,-3.992108173109772,-8.442378605884201
1621786099783.698,0.403,0.869,1.58,1.2855577419751567,-4.022463411634486,-8.548621940720698
1621786099786.895,0.40933972976541527,0.871881695347916,1.593832137669997,1.275,-4.04,-8.61
1621786099789.245,0.414,0.874,1.604,1.2352787528335436,-4.051628917755969,-8.630513933569517
1621786099794.803,0.424,0.887,1.618,1.1413400252473835,-4.079130716292706,-8.679028342224212
1621786099800.373,0.438,0.89,1.63,1.0471949749562244,-4.106692918516105,-8.72764930569695
1621786099804.881,0.44688206227042154,0.89,1.6396895224768233,0.971,-4.129,-8.767
1621786099805.956,0.449,0.89,1.642,0.9389471002183936,-4.1278128555636435,-8.777506228261748
1621786099811.549,0.452,0.89,1.653,0.7721744722154816,-4.121636091563536,-8.832170589662702
1621786099817.154,0.463,0.899,1.653,0.6050451346760495,-4.115446116099113,-8.88695187252285
1621786099822.771,0.466,0.895,1.655,0.437559087600097,-4.109242929170374,-8.941850076842192
1621786099822.991,0.466,0.8953517699115044,1.6550390855457227,0.431,-4.109,-8.944
1621786099828.399,0.466,0.904,1.656,0.1809358143396631,-4.088532112917481,-9.016675830945175
1621786099834.04,0.475,0.913,1.662,-0.07990943300211589,-4.067181790181322,-9.092484947906902
1621786099839.692,0.478,0.902,1.635,-0.34125139941612875,-4.045790810723947,-9.168438425690335
1621786099841.222,0.4817818103448276,0.8949766379310345,1.6274363793103448,-0.412,-4.04,-9.189
1621786099845.356,0.492,0.876,1.607,-0.6372267830065707,-4.049009071320262,-9.142603282700646
1621786099851.031,0.51,0.857,1.571,-0.946409832140672,-4.061376393285627,-9.078911574579022
1621786099856.718,0.522,0.824,1.522,-1.2562446330238621,-4.0737697853209545,-9.015085605597084
1621786099859.577,0.5245457628592548,0.8158535588503848,1.4970515239793034,-1.412,-4.08,-8.983
1621786099862.333,0.527,0.808,1.473,-1.5690868461979208,-4.055820946222477,-8.949734550216911
1621786099867.869,0.531,0.789,1.421,-1.884610297126954,-4.007255081716734,-8.882917819431938
1621786099873.409,0.539,0.757,1.365,-2.2003703036752067,-3.9586528061990123,-8.816050994515837
1621786099877.473,0.5492603795183375,0.7276846299476071,1.3166296394135517,-2.432,-3.923,-8.767
1621786099878.954,0.553,0.717,1.299,-2.487063735695527,-3.943225809963125,-8.695755616333972
1621786099884.503,0.569,0.672,1.241,-2.6933417289191874,-4.0189950878338845,-8.428862200813704
1621786099890.057,0.567,0.616,1.178,-2.8998103169095537,-4.094834374277123,-8.161722183668749
1621786099895.415,0.5592877975929017,0.5774389879645084,1.1124462795396646,-3.099,-4.168,-7.904
1621786099895.615,0.559,0.576,1.11,-3.0996558313766474,-4.165710148074757,-7.900187285386609
1621786099901.177,0.539,0.557,1.054,-3.1178989942860245,-4.10201368096744,-7.794129575591417
1621786099906.744,0.515,0.536,1.004,-3.136158172613635,-4.038261295620191,-7.687978759212259
1621786099912.316,0.48,0.496,0.951,-3.1544341671303897,-3.9744501961210115,-7.581730180919936
1621786099913.403,0.4684990807214148,0.4856686657327964,0.940473734897566,-3.158,-3.962,-7.561
1621786099917.893,0.421,0.443,0.897,-3.2239782446830114,-4.091466744283645,-7.394934003005401
1621786099923.473,0.358,0.403,0.841,-3.3059712185414325,-4.252358617515264,-7.188559234840998
1621786099929.058,0.302,0.368,0.794,-3.388043118036471,-4.413405363694207,-6.981985812338392
1621786099931.437,0.2798661541149747,0.3479944085269963,0.7799535208806571,-3.423,-4.482,-6.894
1621786099934.647,0.25,0.321,0.761,-3.4680979311834927,-4.7257773996651,-6.972299951385513
1621786099940.241,0.202,0.293,0.724,-3.5466900286285314,-5.150607910657376,-7.108753159941663
1621786099945.84,0.155,0.269,0.688,-3.6253541565386485,-5.575827783179387,-7.245331429265921
1621786099949.516,0.11301098039215686,0.27490470588235294,0.6604447058823529,-3.677,-5.855,-7.335
1621786099951.443,0.091,0.278,0.646,-3.68433510666954,-6.017541711561255,-7.467457143626764
1621786099957.05,0.028,0.295,0.597,-3.7056778229716625,-6.490483932227131,-7.852863295981036
1621786099962.661,-0.033,0.332,0.559,-3.727035408361168,-6.96375564324965,-8.23853795388428
1621786099967.643,-0.06138741088506347,0.3781295426882281,0.5306125891149366,-3.746,-7.384,-8.581
1621786099968.277,-0.065,0.384,0.527,-3.7148827456511517,-7.421640714621533,-8.644281053126468
1621786099973.899,-0.049,0.419,0.51,-3.438973228557996,-7.755392249311572,-9.205379555376451
1621786099979.524,0.005,0.44,0.503,-3.1629079454630937,-8.089332204983544,-9.766794828396803
1621786099985.154,0.099,0.436,0.489,-2.8865910403653707,-8.423576533010946,-10.328721808046208
1621786099985.818,0.11055289732587874,0.43210973865557145,0.4871138126814892,-2.854,-8.463,-10.395
1621786099990.787,0.197,0.403,0.473,-2.7443714710650786,-8.43627463722482,-10.050024653973443
1621786099996.427,0.3,0.346,0.461,-2.619941232430694,-8.405940897458228,-9.658471788618975
1621786100002.07,0.384,0.283,0.445,-2.4954409711521714,-8.375590087494809,-9.266698578376857
1621786100004.039,0.4021314310419369,0.2652172503242542,0.44255923043666234,-2.452,-8.365,-9.13
1621786100007.717,0.436,0.232,0.438,-2.489452584305706,-8.187200903537967,-8.602844807998183
1621786100013.369,0.459,0.157,0.424,-2.5470050122298407,-7.913981581726079,-7.792778913883208
1621786100019.026,0.459,0.086,0.415,-2.6046096475399976,-7.640514415173023,-6.9819781867757325
1621786100022.305,0.44973244781783683,0.05240512333965844,0.412103889943074,-2.638,-7.482,-6.512
1621786100024.687,0.443,0.028,0.41,-2.6640246859817918,-7.34271481839337,-6.344034552209354
1621786100030.352,0.431,-0.019,0.415,-2.7259163343902673,-7.011468189921478,-5.944580801001592
1621786100036.022,0.405,-0.049,0.417,-2.7878613284705307,-6.679936053236803,-5.5447827524733615
1621786100040.245,0.3729637003426243,-0.06742087230299101,0.4242081674229095,-2.834,-6.433,-5.247
1621786100041.295,0.365,-0.072,0.426,-2.8178898460360435,-6.393253780731261,-5.221012087401209
1621786100046.821,0.319,-0.082,0.44,-2.733086744879263,-6.184031531161977,-5.084212924221292
1621786100052.347,0.264,-0.08,0.457,-2.6482873902699158,-5.974818524899499,-4.947419804741981
1621786100057.873,0.199,-0.068,0.478,-2.563484289113135,-5.765596275330215,-4.810620641562064
1621786100058.1,0.1959188974291015,-0.06750702358865625,0.47886270871985154,-2.56,-5.757,-4.805
1621786100063.4,0.124,-0.056,0.499,-2.577213026002789,-5.660844475432696,-4.837051841522435
1621786100068.927,0.047,-0.054,0.522,-2.5951642741913434,-5.5605650890000815,-4.87047830366664
1621786100074.455,-0.037,-0.052,0.541,-2.613118694118612,-5.460267984578787,-4.903910671807071
1621786100075.958,-0.058750728734210764,-0.052,0.5453501457468422,-2.618,-5.433,-4.913
1621786100079.983,-0.117,-0.052,0.557,-2.604931430836306,-5.446293889321689,-5.074329233124223
1621786100085.511,-0.187,-0.052,0.567,-2.5869821640903687,-5.464552626183935,-5.295909836401656
1621786100091.04,-0.244,-0.038,0.583,-2.569029726516052,-5.482814588544016,-5.517529583008733
1621786100093.821,-0.25757807602313365,-0.03095951613615293,0.591046267272968,-2.56,-5.492,-5.629
1621786100096.57,-0.271,-0.024,0.599,-2.482907277075504,-5.584018858899897,-5.7376376494704475
1621786100102.1,-0.29,-0.016,0.616,-2.3278249265459516,-5.769127133583874,-5.956176850017082
1621786100107.63,-0.298,0.003,0.63,-2.1727494226170143,-5.954227236077895,-6.174706402459856
1621786100111.686,-0.298,0.019869983665180346,0.6388017306079202,-2.059,-6.09,-6.335
