time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621787083343.303,,,,1.795,-5.874,-8.189
1621787083361.961,,,,2.099,-5.452,-8.189
1621787083379.032,0.358,1.513,1.569,2.134108686416129,-5.019893090263026,-7.950440976916046
1621787083380.924,0.3672672769256144,1.5040522843476827,1.5705978063664852,2.138,-4.972,-7.924
1621787083384.953,0.387,1.485,1.574,2.086777524388699,-4.887953325731662,-7.751725224882808
1621787083390.904,0.398,1.471,1.574,2.0111140250855186,-4.763803420752566,-7.497248802736602
1621787083396.883,0.394,1.461,1.573,1.9350966679336121,-4.639072900038009,-7.241582262764474
1621787083400.194,0.3862846113210614,1.4510802145556505,1.5735510991913528,1.893,-4.57,-7.1
1621787083402.891,0.38,1.443,1.574,1.8483617599740594,-4.5227440854046375,-6.991848708579125
1621787083408.93,0.353,1.426,1.571,1.7484136412955364,-4.4169348116184235,-6.749690458077149
1621787083414.996,0.307,1.421,1.576,1.6480129578588978,-4.310646433782722,-6.506435715800108
1621787083419.77,0.2662771837077977,1.4155180824222036,1.5744337378349154,1.569,-4.227,-6.315
1621787083421.092,0.255,1.414,1.574,1.5438033955145671,-4.203997694403689,-6.309098092643052
1621787083425.923,0.206,1.408,1.578,1.4517276042758331,-4.119940515615175,-6.287530790190736
1621787083431.535,0.159,1.405,1.59,1.3447711590861455,-4.022298595682247,-6.262477929155313
1621787083437.155,0.096,1.379,1.614,1.2376565080695872,-3.9245122476070704,-6.237388010899183
1621787083437.242,0.09498020833333333,1.3788300347222222,1.6142472222222224,1.236,-3.923,-6.237
1621787083442.78,0.03,1.368,1.63,1.1492921137339056,-3.934865289699571,-6.260730579399142
1621787083448.412,-0.044,1.356,1.63,1.0611125938841202,-3.94693196083691,-6.28486392167382
1621787083454.05,-0.108,1.335,1.642,0.9728413358369098,-3.959011185622318,-6.309022371244636
1621787083455.445,-0.12307195364524777,1.3285758886102221,1.6459532993167862,0.951,-3.962,-6.315
1621787083459.696,-0.169,1.309,1.658,0.9784589508853992,-4.0692760708319415,-6.506747250250585
1621787083465.347,-0.213,1.286,1.67,1.0149604944871367,-4.211879558970932,-6.7616393852322085
1621787083471.005,-0.251,1.264,1.684,1.0515077714667558,-4.354661717340461,-7.0168508787170065
1621787083473.713,-0.26629667298741594,1.250615411136011,1.6863901051542838,1.069,-4.423,-7.139
1621787083476.67,-0.283,1.236,1.689,1.0815795395534014,-4.539925207387385,-7.29092213152954
1621787083482.34,-0.297,1.213,1.698,1.1057010559113727,-4.7641316094326305,-7.582235829083501
1621787083488.017,-0.309,1.18,1.712,1.129851653107149,-4.988608314136962,-7.873900733678646
1621787083492.048,-0.3011974051638957,1.1537549082785583,1.7155466340164112,1.147,-5.148,-8.081
1621787083493.7,-0.298,1.143,1.717,1.1505910092083964,-5.19647862431335,-8.156680519066953
1621787083499.391,-0.288,1.115,1.726,1.1629631664145637,-5.363502746596608,-8.417423732186927
1621787083505.087,-0.258,1.084,1.73,1.1753454077435448,-5.530663004537855,-8.678379468195207
1621787083510.448,-0.217571972940572,1.04075141291317,1.724358879945196,1.187,-5.688,-8.924
1621787083510.789,-0.215,1.038,1.724,1.186261403439206,-5.690714342360918,-8.931072062069603
