time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786819578.514,,,,1.167,-5.472,-6.874
1621786819597.142,,,,1.991,-4.952,-6.237
1621786819616.071,,,,2.736,-4.786,-5.972
1621786819616.967,0.099,0.965,0.998,2.7455968417578513,-4.78870202340755,-5.981596841757852
1621786819622.892,0.056,0.984,1.026,2.8090588996928076,-4.8065699814669065,-6.045058899692808
1621786819628.849,0.005,1.007,1.054,2.872863515194598,-4.8245343877732365,-6.108863515194598
1621786819634.833,-0.038,1.016,1.077,2.9369557744547974,-4.842579781157176,-6.172955774454797
1621786819635.304,-0.04050631369523732,1.016939867635714,1.0784881237565471,2.942,-4.844,-6.178
1621786819640.846,-0.07,1.028,1.096,2.9363275526013295,-4.908098655604978,-6.325483632365436
1621786819646.891,-0.094,1.052,1.114,2.9301400869608676,-4.9780170173421965,-6.486357739017443
1621786819652.963,-0.103,1.063,1.141,2.9239253835773904,-5.048243165575491,-6.647940026987856
1621786819654.844,-0.10577490996398559,1.07009143657463,1.1487080832332932,2.922,-5.07,-6.698
1621786819659.064,-0.112,1.086,1.166,2.9454496172321663,-5.128624043080416,-6.822426540415576
1621786819663.846,-0.113,1.1,1.192,2.972022232373991,-5.195055580934978,-6.963424090147709
1621786819669.456,-0.106,1.11,1.22,3.0031965890056345,-5.272991472514086,-7.1288390437033655
1621786819672.48,-0.10061548493674738,1.12023057862018,1.2313074816328304,3.02,-5.315,-7.218
1621786819675.072,-0.096,1.129,1.241,3.006024446265229,-5.317852153823423,-7.2669144380717
1621786819680.695,-0.082,1.14,1.269,2.9757065642251743,-5.32403947668874,-7.37302702521189
1621786819686.323,-0.075,1.157,1.299,2.945362355437951,-5.330232172359602,-7.479231755967172
1621786819690.656,-0.06730922563591454,1.1716124712917624,1.315919703600988,2.922,-5.335,-7.561
1621786819691.957,-0.065,1.176,1.321,2.9003150708768923,-5.324514195456918,-7.566563896288166
1621786819697.599,-0.049,1.18,1.339,2.806275154938627,-5.279040946631507,-7.590692558930221
1621786819703.246,-0.044,1.175,1.361,2.7121538543911545,-5.233528344064144,-7.6148421031496385
1621786819708.895,-0.033007601278396824,1.1889903256456769,1.380986179493824,2.618,-5.188,-7.639
1621786819708.899,-0.033,1.189,1.381,2.6179876228710137,-5.187958173839977,-7.639004267975513
1621786819714.56,-0.03,1.187,1.4,2.600050068687731,-5.1273416114275046,-7.645189631486989
1621786819720.225,-0.031,1.206,1.422,2.5821001373754617,-5.0666832228550085,-7.651379262973979
1621786819725.897,-0.028,1.206,1.442,2.564128546087467,-5.0059516385024745,-7.657576363418115
1621786819727.2,-0.025246721980998237,1.208294398349168,1.4454415975237522,2.56,-4.992,-7.659
1621786819731.576,-0.016,1.216,1.457,2.5504720391239633,-4.947456782904529,-7.649710238145865
1621786819737.26,-0.009,1.223,1.475,2.538095896236445,-4.889598314905379,-7.637643498830534
1621786819742.951,-0.007,1.236,1.494,2.525704869232405,-4.8316702636614925,-7.625562247501595
