time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786172919.2,,,,-2.412,-3.56,-8.846
1621786172937.856,,,,-2.501,-3.962,-8.542
1621786172956.165,0.485,0.374,0.97,-2.339732964202936,-4.42552201905743,-8.153800309039402
1621786172956.816,0.48346308420835904,0.37301198270537367,0.9658283714226888,-2.334,-4.442,-8.14
1621786172962.094,0.471,0.365,0.932,-2.3285211485339214,-4.530757393750475,-8.13452114853392
1621786172968.05,0.452,0.37,0.894,-2.322338528599306,-4.6309158366912495,-8.128338528599306
1621786172974.036,0.44,0.367,0.859,-2.3161249904964647,-4.731575153957272,-8.122124990496465
1621786172976.083,0.43149180128257164,0.3578111453851774,0.8423239305138405,-2.314,-4.766,-8.12
1621786172980.051,0.415,0.34,0.81,-2.504989933011489,-4.859467472524731,-8.133989708468993
1621786172986.096,0.375,0.337,0.744,-2.79594610980128,-5.00185685415965,-8.155301785112833
1621786172992.17,0.335,0.323,0.682,-3.088300662400359,-5.144930578945399,-8.176716290557987
1621786172995.654,0.3150158037929103,0.3178612066896055,0.655164079379051,-3.256,-5.227,-8.189
1621786172998.272,0.3,0.314,0.635,-3.307669905619051,-5.365213438997518,-8.214052075451661
1621786173003.896,0.284,0.307,0.574,-3.4186712994305286,-5.6621345227191275,-8.267870933057226
1621786173009.526,0.279,0.302,0.517,-3.529788339771415,-5.95936495294227,-8.321745861707353
1621786173014.046,0.283010658117066,0.2907701572722152,0.4744870239591006,-3.619,-6.198,-8.365
1621786173015.161,0.284,0.288,0.464,-3.6267611866402616,-6.2429171037841895,-8.340433094256811
1621786173020.802,0.286,0.286,0.422,-3.6660276588342344,-6.470167946796553,-8.216140796445966
1621786173026.45,0.283,0.278,0.384,-3.7053417143927634,-6.697694173847883,-8.091697880426056
1621786173032.105,0.283,0.283,0.347,-3.744705052721726,-6.925505620082427,-7.967098966975326
1621786173032.291,0.28283565543717376,0.2827041797869128,0.3463097528361299,-3.746,-6.933,-7.963
1621786173037.765,0.278,0.274,0.326,-3.631805418522173,-7.000560145062798,-7.87810141062905
1621786173043.431,0.278,0.25,0.311,-3.5136024906002508,-7.070491720220794,-7.790222794058825
1621786173049.103,0.281,0.236,0.298,-3.39527223274046,-7.1404986267032875,-7.702249513346311
1621786173050.602,0.2828477279566657,0.22676136021667168,0.2972081165900004,-3.364,-7.159,-7.679
1621786173054.782,0.288,0.201,0.295,-3.3260129802837857,-7.203583568050167,-7.478146476590317
1621786173060.467,0.29,0.164,0.286,-3.274347438486475,-7.264220970399108,-7.204968791518308
1621786173066.158,0.288,0.129,0.283,-3.2226286469681673,-7.324920869426583,-6.931509552532285
1621786173068.978,0.28552496250267834,0.11612980501392758,0.2834950074994643,-3.197,-7.355,-6.796
1621786173071.855,0.283,0.103,0.284,-3.0976116039509574,-7.351879485210391,-6.67664030929746
1621786173077.559,0.283,0.091,0.3,-2.900555384900564,-7.345692476762969,-6.4399872361835655
1621786173083.268,0.286,0.077,0.333,-2.703330482218044,-7.339500172126155,-6.203131583825438
1621786173087.417,0.2707541866028708,0.06683612440191387,0.35332775119617227,-2.56,-7.335,-6.031
1621786173088.983,0.265,0.063,0.361,-2.5699006293125057,-7.3009824531313905,-6.026007374962069
1621786173094.706,0.244,0.037,0.38,-2.6060856234415612,-7.176654524585405,-6.0077602411704945
1621786173100.434,0.227,0.023,0.391,-2.6423014895048618,-7.052220523239706,-5.989497539480454
1621786173105.922,0.20977177893212978,0.007686025717448692,0.3957856169632973,-2.677,-6.933,-5.972
1621786173106.168,0.209,0.007,0.396,-2.679078663651424,-6.928074758736753,-5.977322438139315
1621786173111.908,0.199,-0.002,0.405,-2.727610402587499,-6.813082358200321,-6.10158841936417
1621786173117.655,0.194,-0.014,0.405,-2.7762020037339927,-6.697948118541113,-6.226007678350732
1621786173123.408,0.18,-0.007,0.405,-2.8248431460201426,-6.582696494780299,-6.350553787898709
1621786173124.491,0.17962389249226335,-0.008692483784814957,0.405564161261605,-2.834,-6.561,-6.374
1621786173129.167,0.178,-0.016,0.408,-2.841528201768752,-6.464889957418932,-6.403610926957091
1621786173134.931,0.171,-0.035,0.41,-2.8508078611202095,-6.346419639698657,-6.440110920406157
1621786173140.703,0.162,-0.049,0.41,-2.860100491320013,-6.227783727481166,-6.476661932525385
1621786173143.125,0.15780737860795335,-0.05109631069602333,0.4091614757215906,-2.864,-6.178,-6.492
1621786173146.48,0.152,-0.054,0.408,-2.81285979917214,-6.1164523197054175,-6.463828029719389
1621786173152.264,0.133,-0.058,0.407,-2.724694867007038,-6.0103450504681195,-6.4152599793687894
1621786173158.054,0.113,-0.056,0.41,-2.636436898528394,-5.904125811211365,-6.3666406774349396
1621786173161.822,0.09544732740828103,-0.050149109136093675,0.41455069289414936,-2.579,-5.835,-6.335
1621786173163.85,0.086,-0.047,0.417,-2.4793363218779687,-5.87629232651043,-6.310678603495166
1621786173169.652,0.065,-0.026,0.429,-2.194214459524522,-5.994423076422595,-6.241098973311299
1621786173175.459,0.056,0.009,0.457,-1.9088526460981927,-6.112653242072115,-6.1714607867376285
1621786173180.584,0.048067847846166765,0.04866076076916618,0.4834405071794441,-1.657,-6.217,-6.11
1621786173181.274,0.047,0.054,0.487,-1.6458358457220086,-6.22853139619503,-6.100635331115501
1621786173187.083,0.037,0.098,0.518,-1.5518373011747584,-6.325621998128703,-6.021787867761722
1621786173192.898,0.023,0.122,0.546,-1.457743944276952,-6.422810531240254,-5.942860874311259
1621786173198.718,0.009,0.157,0.576,-1.3635676265724088,-6.520084754132446,-5.863864292026198
1621786173199.371,0.008775803545237396,0.15980245568453255,0.5785782592297699,-1.353,-6.531,-5.855
1621786173204.544,0.007,0.182,0.599,-1.3960890273442055,-6.533744524034662,-5.93019995854976
1621786173210.377,0.01,0.216,0.621,-1.4446770508154039,-6.536839302599708,-6.014996891231979
1621786173216.215,0.028,0.253,0.63,-1.493307780987293,-6.53993680133677,-6.099868356627504
1621786173218.219,0.036915402932698335,0.2656873041734553,0.6330861010151648,-1.51,-6.541,-6.129
1621786173222.059,0.054,0.29,0.639,-1.5479765658287175,-6.57694573343146,-6.212670294767014
1621786173227.908,0.079,0.33,0.651,-1.6058190597926432,-6.631695045899988,-6.340109372377374
1621786173233.763,0.112,0.372,0.658,-1.663721914500781,-6.686501491265445,-6.467681437295839
1621786173237.128,0.1361132169783813,0.38807547798558756,0.6620188694963969,-1.697,-6.718,-6.541
1621786173239.624,0.154,0.4,0.665,-1.78859474314253,-6.7049714373978295,-6.571926385974849
1621786173245.492,0.199,0.424,0.656,-2.003919435183874,-6.674343356202294,-6.6446294069945555
1621786173251.365,0.251,0.443,0.639,-2.2194322619675884,-6.643688514461506,-6.7173959505206655
1621786173256.095,0.2920397906629008,0.45426582488785516,0.6277341751121449,-2.393,-6.619,-6.776
1621786173257.243,0.302,0.457,0.625,-2.399514554014701,-6.6030755346307295,-6.752957781170222
1621786173263.127,0.349,0.478,0.618,-2.432906146168747,-6.521451642698619,-6.634850482995728
