time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621787247502.628,,,,2.775,-4.903,-9.728
1621787247521.267,,,,2.903,-4.59,-8.865
1621787247540.212,,,,2.56,-4.021,-7.865
1621787247541.386,0.077,1.902,1.642,2.5264516742770167,-4.028746613394216,-7.831512671232877
1621787247547.317,-0.016,1.904,1.658,2.356979959411466,-4.067879173008625,-7.662349086757991
1621787247553.278,-0.11,1.887,1.677,2.1866432014205985,-4.107211478944698,-7.492322031963471
1621787247559.267,-0.199,1.871,1.684,2.0155111618467783,-4.146727422628107,-7.3215011415525115
1621787247559.46,-0.2018519855595668,1.870455238713341,1.6846729404129315,2.01,-4.148,-7.316
1621787247565.286,-0.288,1.854,1.705,1.7647699444340388,-4.279703140413311,-7.327620865330586
1621787247571.334,-0.365,1.836,1.717,1.5101882000374602,-4.4164286945120805,-7.3396848848098895
1621787247577.412,-0.435,1.796,1.731,1.2543424361615783,-4.553833102328776,-7.351808803146657
1621787247579.012,-0.4499348660535786,1.7849953618552579,1.733358136745302,1.187,-4.59,-7.355
1621787247583.518,-0.492,1.754,1.74,0.9866420883449485,-4.7256792654168915,-7.512319865098081
1621787247589.139,-0.532,1.714,1.733,0.736718471287233,-4.894923656579762,-7.708558433346068
1621787247594.768,-0.545,1.682,1.716,0.4864257710092613,-5.064417985166058,-7.905086803588603
1621787247597.544,-0.5430292065693115,1.6632774624084585,1.7012190492698358,0.363,-5.148,-8.002
1621787247600.402,-0.541,1.644,1.686,0.35986467232652186,-5.204906197273628,-8.160334047510647
1621787247606.043,-0.522,1.627,1.648,0.35367677227563676,-5.317216583197193,-8.472823000080346
1621787247611.688,-0.501,1.609,1.62,0.34748431934438523,-5.429609603899408,-8.785541873108546
1621787247615.776,-0.49232097965530647,1.603937238132262,1.5961326940520928,0.343,-5.511,-9.012
1621787247617.34,-0.489,1.602,1.587,0.3379553200859435,-5.524423978754354,-9.071595625425381
1621787247622.999,-0.475,1.59,1.543,0.319704869683584,-5.5729887366047,-9.28719840390749
1621787247628.663,-0.466,1.585,1.491,0.3014378845101624,-5.621597493761094,-9.50299651688842
1621787247634.07,-0.452651541243327,1.598348458756673,1.4519080850697434,0.284,-5.668,-9.709
