time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1621786673564.098,-0.035,0.04,0.014,,,
1621786673569.1,-0.031,0.038,0.017,,,
1621786673574.101,-0.035,0.038,0.019,,,
1621786673579.102,-0.03,0.044,0.023,,,
1621786673584.103,-0.031,0.049,0.019,,,
1621786673586.84,-0.030452694786174576,0.042432337434094906,0.0211892208553017,-0.814,-6.011,-7.139
1621786673589.104,-0.03,0.037,0.023,-0.814,-6.013801891495823,-7.141801891495823
1621786673594.105,-0.035,0.042,0.024,-0.814,-6.01999125258721,-7.14799125258721
1621786673599.107,-0.033,0.051,0.026,-0.814,-6.026181822302125,-7.154181822302125
1621786673603.0,-0.030664616285881664,0.053335383714118334,0.026,-0.814,-6.031,-7.159
1621786673604.108,-0.03,0.054,0.026,-0.815371266260746,-6.031,-7.163045235469201
1621786673609.109,-0.028,0.051,0.03,-0.8215610014051097,-6.031,-7.181304954145074
1621786673614.11,-0.024,0.049,0.031,-0.8277510387236163,-6.031,-7.1995655642346685
1621786673619.111,-0.028,0.049,0.03,-0.83394077386798,-6.031,-7.217825282910542
1621786673619.159,-0.02791390081999219,0.048952167122217886,0.029980866848887153,-0.834,-6.031,-7.218
1621786673624.113,-0.019,0.044,0.028,-0.8459566688825769,-6.031,-7.218
1621786673629.114,-0.023,0.054,0.031,-0.8580264700549949,-6.031,-7.218
1621786673634.115,-0.014,0.052,0.028,-0.8700962712274128,-6.031,-7.218
1621786673635.318,-0.014481156024214022,0.05007537590314391,0.02751884397578598,-0.873,-6.031,-7.218
1621786673639.116,-0.016,0.044,0.026,-0.8821667648791985,-6.035700905066255,-7.2132990949337445
1621786673644.117,-0.016,0.047,0.026,-0.8942374779021803,-6.041891014308811,-7.20710898569119
1621786673649.119,-0.014,0.04,0.031,-0.9063105480259281,-6.0480823323209885,-7.200917667679011
1621786673651.476,-0.012114718086404687,0.04,0.029586038564803515,-0.912,-6.051,-7.198
1621786673654.12,-0.01,0.04,0.028,-0.9152727437559495,-6.051,-7.198
1621786673659.121,-0.014,0.033,0.024,-0.9214628529985042,-6.051,-7.198
1621786673664.122,-0.009,0.03,0.023,-0.927652962241059,-6.051,-7.198
1621786673667.634,-0.009702255418863503,0.028595489162272995,0.023702255418863505,-0.932,-6.051,-7.198
1621786673669.123,-0.01,0.028,0.024,-0.9391879787860932,-6.049156928516386,-7.2015939893930465
1621786673674.124,-0.009,0.024,0.021,-0.9633294048320566,-6.042966819273832,-7.213664702416029
1621786673679.126,-0.01,0.016,0.019,-0.9874755450795522,-6.036775501261653,-7.225737772539777
1621786673683.792,-0.011866041788713142,0.012267916422573716,0.020866041788713142,-1.01,-6.031,-7.237
1621786673684.127,-0.012,0.012,0.021,-1.0112230196262106,-6.031414582924139,-7.237414582924139
1621786673689.128,-0.003,0.007,0.014,-1.0294827383020835,-6.037604318068503,-7.243604318068503
1621786673694.129,-0.002,0.005,0.014,-1.0477424569779563,-6.043794053212866,-7.249794053212867
1621786673699.131,0.002,0.002,0.007,-1.0660066327224378,-6.049985299227945,-7.2559852992279446
1621786673699.951,0.0016721343487600079,0.0016721343487600079,0.006344268697520016,-1.069,-6.051,-7.257
1621786673704.132,0.0,0.0,0.003,-1.069,-6.045825043814589,-7.2365589230676255
1621786673709.133,0.01,-0.005,0.0,-1.069,-6.039635402187708,-7.212109838641445
1621786673714.134,0.007,-0.009,0.0,-1.069,-6.033445760560826,-7.1876607542152655
1621786673716.11,0.006209724663151729,-0.009395137668424135,-0.0019756883421206796,-1.069,-6.031,-7.178
1621786673719.135,0.005,-0.01,-0.005,-1.069,-6.0163977607542725,-7.170698880377136
1621786673724.136,0.005,-0.012,-0.005,-1.069,-5.992256334708308,-7.158628167354155
